DateKey,Date,Day,DaySuffix,Weekday,WeekDayName,WeekDayName_Short,WeekDayName_FirstLetter,DOWInMonth,DayOfYear,WeekOfMonth,WeekOfYear,Month,MonthName,MonthName_Short,MonthName_FirstLetter,Quarter,QuarterName,Year,MMYYYY,MonthYear,IsWeekend,IsHoliday,HolidayName,SpecialDays,FinancialYear,FinancialQuater,FinancialMonth,FirstDateofYear,LastDateofYear,FirstDateofQuater,LastDateofQuater,FirstDateofMonth,LastDateofMonth,FirstDateofWeek,LastDateofWeek,CurrentYear,CurrentQuater,CurrentMonth,CurrentWeek,CurrentDay
20121231,2012-12-31,31,st,2,Monday,MON,M,31,366,6,53,12,December,DEC,D,4,fourth,2012,122012,2012DEC,false,false,null,null,null,null,null,2012-01-01,2012-12-31,2022-04-01,2022-06-30,2012-12-01,2012-12-31,2012-12-30,2013-01-05,-10,-38,-113,-488,-3419
20130101,2013-01-01,1,st,3,Tuesday,TUE,T,1,1,1,1,1,January,JAN,J,1,First,2013,012013,2013JAN,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-01-01,2013-01-31,2012-12-30,2013-01-05,-9,-37,-112,-488,-3418
20130102,2013-01-02,2,nd,4,Wednesday,WED,W,2,2,1,1,1,January,JAN,J,1,First,2013,012013,2013JAN,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-01-01,2013-01-31,2012-12-30,2013-01-05,-9,-37,-112,-488,-3417
20130103,2013-01-03,3,rd,5,Thursday,THU,T,3,3,1,1,1,January,JAN,J,1,First,2013,012013,2013JAN,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-01-01,2013-01-31,2012-12-30,2013-01-05,-9,-37,-112,-488,-3416
20130104,2013-01-04,4,th,6,Friday,FRI,F,4,4,1,1,1,January,JAN,J,1,First,2013,012013,2013JAN,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-01-01,2013-01-31,2012-12-30,2013-01-05,-9,-37,-112,-488,-3415
20130105,2013-01-05,5,th,7,Saturday,SAT,S,5,5,1,1,1,January,JAN,J,1,First,2013,012013,2013JAN,true,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-01-01,2013-01-31,2012-12-30,2013-01-05,-9,-37,-112,-488,-3414
20130106,2013-01-06,6,th,1,Sunday,SUN,S,6,6,2,2,1,January,JAN,J,1,First,2013,012013,2013JAN,true,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-01-01,2013-01-31,2013-01-06,2013-01-12,-9,-37,-112,-487,-3413
20130107,2013-01-07,7,th,2,Monday,MON,M,7,7,2,2,1,January,JAN,J,1,First,2013,012013,2013JAN,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-01-01,2013-01-31,2013-01-06,2013-01-12,-9,-37,-112,-487,-3412
20130108,2013-01-08,8,th,3,Tuesday,TUE,T,8,8,2,2,1,January,JAN,J,1,First,2013,012013,2013JAN,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-01-01,2013-01-31,2013-01-06,2013-01-12,-9,-37,-112,-487,-3411
20130109,2013-01-09,9,th,4,Wednesday,WED,W,9,9,2,2,1,January,JAN,J,1,First,2013,012013,2013JAN,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-01-01,2013-01-31,2013-01-06,2013-01-12,-9,-37,-112,-487,-3410
20130110,2013-01-10,10,th,5,Thursday,THU,T,10,10,2,2,1,January,JAN,J,1,First,2013,012013,2013JAN,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-01-01,2013-01-31,2013-01-06,2013-01-12,-9,-37,-112,-487,-3409
20130111,2013-01-11,11,th,6,Friday,FRI,F,11,11,2,2,1,January,JAN,J,1,First,2013,012013,2013JAN,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-01-01,2013-01-31,2013-01-06,2013-01-12,-9,-37,-112,-487,-3408
20130112,2013-01-12,12,th,7,Saturday,SAT,S,12,12,2,2,1,January,JAN,J,1,First,2013,012013,2013JAN,true,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-01-01,2013-01-31,2013-01-06,2013-01-12,-9,-37,-112,-487,-3407
20130113,2013-01-13,13,th,1,Sunday,SUN,S,13,13,3,3,1,January,JAN,J,1,First,2013,012013,2013JAN,true,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-01-01,2013-01-31,2013-01-13,2013-01-19,-9,-37,-112,-486,-3406
20130114,2013-01-14,14,th,2,Monday,MON,M,14,14,3,3,1,January,JAN,J,1,First,2013,012013,2013JAN,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-01-01,2013-01-31,2013-01-13,2013-01-19,-9,-37,-112,-486,-3405
20130115,2013-01-15,15,th,3,Tuesday,TUE,T,15,15,3,3,1,January,JAN,J,1,First,2013,012013,2013JAN,false,false,null,null,null,null,null,2013-01-01,2013-12-31,2022-04-01,2022-06-30,2013-01-01,2013-01-31,2013-01-13,2013-01-19,-9,-37,-112,-486,-3404
