InvoiceID,CustomerID,BillToCustomerID,OrderID,DeliveryMethodID,ContactPersonID,AccountsPersonID,SalespersonPersonID,PackedByPersonID,InvoiceDate,CustomerPurchaseOrderNumber,IsCreditNote,CreditNoteReason,Comments,DeliveryInstructions,InternalComments,TotalDryItems,TotalChillerItems,DeliveryRun,RunPosition,ReturnedDeliveryData,ConfirmedDeliveryTime,ConfirmedReceivedBy,LastEditedBy,LastEditedWhen
1,832,832,1,3,3032,3032,2,14,2013-01-01,12126,false,null,null,"Suite 24, 1345 Jun Avenue",null,1,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2013-01-01T12:00:00"",""ConNote"":""EAN-125-1051""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2013-01-02T07:05:00"",""ConNote"":""EAN-125-1051"",""DriverID"":15,""Latitude"":41.3617214,""Longitude"":-81.4695602,""Status"":""Delivered""}],""DeliveredWhen"":""2013-01-02T07:05:00"",""ReceivedBy"":""Aakriti Byrraju""}",2013-01-02T07:05:00.000+0000,Aakriti Byrraju,15,2013-01-02T07:00:00.000+0000
2,803,803,2,3,3003,3003,8,14,2013-01-01,15342,false,null,null,"Unit 7, 844 Magnusson Lane",null,2,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2013-01-01T12:00:00"",""ConNote"":""EAN-125-1052""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2013-01-02T07:10:00"",""ConNote"":""EAN-125-1052"",""DriverID"":15,""Latitude"":40.8657308,""Longitude"":-120.4602262,""Status"":""Delivered""}],""DeliveredWhen"":""2013-01-02T07:10:00"",""ReceivedBy"":""Bala Dixit""}",2013-01-02T07:10:00.000+0000,Bala Dixit,15,2013-01-02T07:00:00.000+0000
3,105,1,3,3,1209,1001,7,14,2013-01-01,12211,false,null,null,"Unit 60, 1158 Hrastovsek Boulevard",null,1,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2013-01-01T12:00:00"",""ConNote"":""EAN-125-1053""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2013-01-02T07:15:00"",""ConNote"":""EAN-125-1053"",""DriverID"":15,""Latitude"":33.4848451,""Longitude"":-89.3606259,""Status"":""Delivered""}],""DeliveredWhen"":""2013-01-02T07:15:00"",""ReceivedBy"":""Sung-Hwan Hwang""}",2013-01-02T07:15:00.000+0000,Sung-Hwan Hwang,15,2013-01-02T07:00:00.000+0000
4,57,1,4,3,1113,1001,16,14,2013-01-01,17129,false,null,null,"Unit 136, 1331 Dutta Crescent",null,3,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2013-01-01T12:00:00"",""ConNote"":""EAN-125-1054""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2013-01-02T07:20:00"",""ConNote"":""EAN-125-1054"",""DriverID"":15,""Latitude"":41.0208896,""Longitude"":-81.4359458,""Status"":""Delivered""}],""DeliveredWhen"":""2013-01-02T07:20:00"",""ReceivedBy"":""Aile Mae""}",2013-01-02T07:20:00.000+0000,Aile Mae,15,2013-01-02T07:00:00.000+0000
5,905,905,5,3,3105,3105,3,14,2013-01-01,10369,false,null,null,"Shop 30, 1476 Poddar Lane",null,3,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2013-01-01T12:00:00"",""ConNote"":""EAN-125-1055""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2013-01-02T07:25:00"",""ConNote"":""EAN-125-1055"",""DriverID"":15,""Latitude"":45.7849627,""Longitude"":-93.5569028,""Status"":""Delivered""}],""DeliveredWhen"":""2013-01-02T07:25:00"",""ReceivedBy"":""Sara Huiting""}",2013-01-02T07:25:00.000+0000,Sara Huiting,15,2013-01-02T07:00:00.000+0000
6,976,976,6,3,3176,3176,13,14,2013-01-01,13383,false,null,null,"Suite 6, 244 Lieu Crescent",null,3,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2013-01-01T12:00:00"",""ConNote"":""EAN-125-1056""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2013-01-02T07:30:00"",""ConNote"":""EAN-125-1056"",""DriverID"":15,""Latitude"":31.1835648,""Longitude"":-81.3498179,""Status"":""Delivered""}],""DeliveredWhen"":""2013-01-02T07:30:00"",""ReceivedBy"":""Alinne Matos""}",2013-01-02T07:30:00.000+0000,Alinne Matos,15,2013-01-02T07:00:00.000+0000
7,575,401,7,3,2349,2001,8,14,2013-01-01,17913,false,null,null,"Shop 227, 178 Bhogireddy Boulevard",null,4,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2013-01-01T12:00:00"",""ConNote"":""EAN-125-1057""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2013-01-02T07:35:00"",""ConNote"":""EAN-125-1057"",""DriverID"":15,""Latitude"":42.5422939,""Longitude"":-76.6660589,""Status"":""Delivered""}],""DeliveredWhen"":""2013-01-02T07:35:00"",""ReceivedBy"":""Dattaatraeya Tottempudi""}",2013-01-02T07:35:00.000+0000,Dattaatraeya Tottempudi,15,2013-01-02T07:00:00.000+0000
8,964,964,8,3,3164,3164,7,14,2013-01-01,14518,false,null,null,"Suite 24, 1300 Sonkar Road",null,3,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2013-01-01T12:00:00"",""ConNote"":""EAN-125-1058""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2013-01-02T07:40:00"",""ConNote"":""EAN-125-1058"",""DriverID"":15,""Latitude"":28.4624986,""Longitude"":-82.1948076,""Status"":""Delivered""}],""DeliveredWhen"":""2013-01-02T07:40:00"",""ReceivedBy"":""Ingrida Zeltina""}",2013-01-02T07:40:00.000+0000,Ingrida Zeltina,15,2013-01-02T07:00:00.000+0000
9,77,1,9,3,1153,1001,7,14,2013-01-01,17577,false,null,null,"Unit 176, 1675 Ribeiro Street",null,2,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2013-01-01T12:00:00"",""ConNote"":""EAN-125-1059""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2013-01-02T07:45:00"",""ConNote"":""EAN-125-1059"",""DriverID"":15,""Latitude"":30.9913064,""Longitude"":-83.3726575,""Status"":""Delivered""}],""DeliveredWhen"":""2013-01-02T07:45:00"",""ReceivedBy"":""Airi Vassiljev""}",2013-01-02T07:45:00.000+0000,Airi Vassiljev,15,2013-01-02T07:00:00.000+0000
10,191,1,10,3,1381,1001,20,14,2013-01-01,18030,false,null,null,"Suite 169, 946 Reddy Street",null,2,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2013-01-01T12:00:00"",""ConNote"":""EAN-125-1060""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2013-01-02T07:50:00"",""ConNote"":""EAN-125-1060"",""DriverID"":15,""Latitude"":33.1865071,""Longitude"":-84.2113095,""Status"":""Delivered""}],""DeliveredWhen"":""2013-01-02T07:50:00"",""ReceivedBy"":""Ester Ahmadian""}",2013-01-02T07:50:00.000+0000,Ester Ahmadian,15,2013-01-02T07:00:00.000+0000
